Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
113B_CM+_T1_1	0.0	0.0	0.0	4.5	9.0	10.5	10.0	14.0	33.0	66.0	109.5	168.5	281.0	533.0	1027.5	1965.0	3644.0	6601.5	11728.0	19906.0	31996.0	48576.0	70732.5	99985.0	135316.0	177703.0	228609.5	286055.5	349414.5	418487.0	492382.0	568125.0	644676.0	721514.0	796677.0	866003.5	931751.5	994923.0	1048317.5	1089028.0	1116562.5	1131244.0	1133359.0	1125179.0	1112302.0	1096272.5	1075662.0	1054660.5	1034980.0	1015427.5	1000425.5	990526.5	980309.5	972742.0	969650.5	970184.0	974360.5	976675.5	974381.0	969906.5	960632.5	941025.0	911606.5	872523.5	823259.5	765588.0	700917.0	637339.0	572048.5	503576.5	437761.5	373670.0	317133.0	270158.0	230787.5	198764.5	171725.5	147505.5	127360.5	109810.0	92840.5	77860.5	64374.5	51340.0	39965.0	31185.0	24826.5	18977.0	14262.0	11669.0	8765.0	5972.0	3918.5	2243.5	1201.5	602.0	290.0	155.5	105.0	53.5	21.5
113B_CM+_T1_2	4.0	6.0	7.0	11.0	10.5	9.0	12.0	15.0	33.5	49.5	66.0	130.0	232.5	421.5	800.5	1543.5	2949.0	5621.5	10495.5	18229.0	29748.5	45931.0	67962.0	97194.5	132670.5	176090.5	227861.5	286067.0	350500.0	420700.0	494400.0	572519.5	651373.5	728802.5	804504.0	874104.5	940707.5	1003000.0	1055427.0	1096257.5	1122949.5	1135027.0	1135761.0	1126001.5	1113763.0	1098156.0	1076500.0	1054441.5	1033021.0	1013527.5	999216.0	989318.0	978535.5	970279.0	967532.5	967822.0	971033.0	975788.0	976172.5	969472.0	957935.5	939422.5	908129.5	867764.5	819655.5	762416.0	698557.5	634568.5	569320.0	501092.0	434590.5	370824.5	314759.5	267925.5	229093.5	197106.5	170020.5	146584.0	126756.5	109133.0	92403.5	76883.5	63232.0	50628.0	39310.0	30745.0	24674.0	19089.0	14233.5	11185.5	8622.0	6283.5	4528.5	3015.5	1735.5	929.0	496.5	256.0	153.0	109.5	55.0
113B_CM-_T1_1	0.0	1.0	1.5	5.5	11.0	11.5	13.5	17.0	28.0	62.0	108.0	170.5	319.5	588.0	1163.5	2232.5	4082.5	7422.5	13497.5	23107.5	37232.0	56766.5	82875.0	117213.0	159690.5	209791.5	268257.5	335397.5	409178.0	489117.0	572198.5	658316.0	745708.0	832856.5	919405.5	996706.0	1067430.5	1136385.0	1195750.0	1239723.0	1268219.0	1282930.0	1284316.5	1274248.0	1259633.5	1240439.0	1216066.0	1192574.5	1170181.5	1147457.0	1130857.5	1118671.0	1105846.0	1098332.0	1096207.5	1096627.0	1099874.0	1101941.5	1099887.5	1093143.5	1081010.0	1060200.0	1026278.5	980687.5	925728.0	861268.5	788532.5	716234.0	643062.0	566409.5	491382.5	418019.0	354464.5	302394.0	258340.0	222459.0	192075.0	165409.0	142838.5	123214.0	104351.5	87175.5	71814.0	57287.0	44602.0	34920.5	28044.0	21318.0	15733.5	12778.5	9579.0	6519.0	4215.5	2406.0	1307.5	685.5	337.5	164.5	102.5	54.5	27.5
113B_CM-_T1_2	0.0	1.5	6.0	11.0	14.5	12.0	13.5	19.5	29.5	56.0	97.5	152.5	247.0	467.0	934.5	1868.5	3556.0	6722.5	12390.5	21531.0	35242.5	54583.5	80854.5	114857.0	156608.0	208095.0	268456.5	335317.0	410324.5	492208.5	576969.5	665187.5	753583.0	841326.0	927180.5	1004362.0	1076154.0	1145952.0	1205158.5	1246760.5	1273913.0	1287516.0	1286255.5	1274998.0	1260467.0	1241851.5	1216703.0	1190087.0	1166781.5	1146165.5	1128474.0	1115435.5	1104034.5	1095399.0	1092357.0	1092178.5	1095174.0	1099814.5	1099598.0	1093368.5	1081320.5	1058238.0	1021990.5	975693.0	920851.5	856333.0	784613.5	712620.0	639414.0	563555.0	487945.0	415466.5	353405.0	301620.5	257547.5	221272.0	190836.0	164995.0	142898.0	122708.0	103411.5	86279.0	71168.5	56802.0	44266.0	34568.0	27595.5	21193.5	15559.0	12360.5	9650.0	7019.5	5080.5	3396.5	1975.5	1044.0	557.5	283.5	153.0	98.5	49.0
113B_PBMC_T1_1	0.0	0.5	2.5	6.5	11.0	9.5	12.0	20.5	30.5	61.5	116.5	214.0	360.0	670.0	1286.5	2407.5	4531.5	8108.5	14225.0	23805.0	37764.5	57087.5	82894.0	116506.0	157922.5	207923.5	266124.0	333121.5	406487.0	485215.5	568342.0	654107.0	743326.5	832187.0	917399.5	999121.5	1076264.5	1148308.5	1212334.5	1260786.5	1292886.0	1312640.0	1319460.0	1313946.0	1302332.5	1288037.0	1269185.0	1246609.5	1225323.5	1206137.0	1191719.5	1180565.0	1169526.0	1163853.5	1161940.5	1161708.0	1164588.5	1168082.0	1168544.5	1161883.0	1148208.5	1125180.5	1089006.5	1039892.0	979474.5	909030.0	832584.5	755923.0	678065.0	598163.5	519250.5	444503.0	378681.0	323543.5	277889.5	240425.0	208387.0	180215.5	156467.5	135789.5	115338.0	96507.0	79750.0	63692.5	49779.0	39002.0	31397.5	24155.0	17693.5	14247.5	10975.0	7532.0	4993.0	3067.0	1680.5	863.5	409.0	177.5	132.5	86.5	32.5
113B_PBMC_T1_2	1.0	2.0	7.0	9.5	9.5	16.5	22.0	17.0	23.0	52.5	86.5	145.0	260.5	481.5	906.0	1735.5	3332.5	6160.0	11424.0	20092.0	33252.5	51879.5	76456.0	109213.5	150890.5	200927.5	260000.5	327472.5	402240.0	483784.5	568965.0	657807.0	748868.0	839205.5	927643.5	1010515.0	1088539.0	1161701.0	1224557.5	1272811.5	1305702.0	1324322.0	1328339.0	1319702.0	1308003.0	1293952.0	1274457.5	1252308.0	1228921.0	1208863.5	1195359.5	1182245.0	1170042.0	1164492.0	1161376.0	1161984.5	1165974.5	1169308.5	1168820.0	1161277.5	1148560.0	1124406.5	1085689.0	1035303.5	974922.5	904828.5	826829.5	749863.5	671413.5	590488.0	512283.0	437921.0	372882.5	318076.0	273116.0	236553.0	204929.0	177704.0	154139.0	133067.5	113136.0	94567.0	78003.5	62321.5	48270.0	37935.5	30466.5	23365.5	17112.5	13496.5	10593.5	7764.5	5552.5	3549.0	1976.5	1025.5	568.0	287.5	161.5	112.5	52.5
113B_T1_T1_1	0.0	2.0	4.5	5.0	5.0	11.0	13.5	20.0	38.5	78.0	133.0	236.0	422.0	715.5	1306.5	2513.5	4619.0	8462.5	15023.5	25318.5	40673.5	61379.0	89038.0	125632.0	170788.0	224558.0	288123.5	359714.0	439789.0	527560.5	618474.0	714514.0	812331.0	908977.0	1004709.0	1093691.5	1177098.5	1257650.0	1327386.0	1379040.0	1414318.5	1434149.5	1437643.5	1429353.5	1415646.5	1397300.0	1373681.0	1348366.5	1324279.5	1303193.0	1287232.5	1274294.5	1262137.0	1254579.0	1254241.0	1257776.5	1262037.5	1265441.0	1264821.5	1258136.5	1245531.5	1221750.0	1182548.0	1131072.0	1068188.5	993271.0	908650.5	823980.5	738868.5	651140.5	564575.0	481324.0	408530.0	347565.5	296907.0	255226.0	220285.5	189914.0	163538.0	140170.0	118627.0	99337.0	81619.0	65029.0	50753.0	39294.5	30884.5	23298.0	17249.0	13733.5	10122.5	6872.5	4455.5	2620.0	1383.5	716.0	365.5	185.5	124.5	66.0	19.5
113B_T1_T1_2	2.0	5.0	13.5	13.5	9.5	15.5	21.5	23.0	30.5	65.5	107.0	167.5	294.5	535.5	1019.0	1930.0	3754.0	7083.0	12966.5	22547.0	36806.0	56785.5	84332.0	120745.0	165486.0	220007.0	284219.5	357199.5	438568.0	528081.0	622696.5	721531.5	821522.0	920488.0	1017155.0	1106280.5	1190795.0	1270397.0	1338596.0	1389852.0	1424121.0	1443573.5	1445820.5	1436139.0	1420309.5	1399907.5	1376318.5	1349768.0	1324000.5	1303233.0	1287822.0	1274102.0	1260960.5	1253201.5	1251872.5	1255704.0	1262487.0	1265194.5	1262820.0	1257532.5	1244277.0	1217551.0	1178452.5	1126560.5	1061621.0	984773.5	901140.5	817733.0	732125.5	644571.0	558314.0	475285.5	403387.5	343122.5	292645.0	251768.5	217654.0	188027.0	161955.0	139056.0	117209.5	97663.5	80715.0	64319.0	49802.5	38660.0	30358.5	23082.0	17023.0	13018.5	9806.0	7070.0	5069.5	3395.0	1960.0	1019.5	550.0	320.5	194.5	124.0	55.0
113B_T2_T1_1	0.0	0.5	1.0	3.5	6.0	8.0	11.0	10.5	19.5	52.5	85.0	127.5	231.0	440.5	886.0	1664.5	3093.0	5856.5	10582.5	18416.5	30123.5	46400.5	67967.5	96362.0	131320.0	173190.5	222831.0	278879.0	340470.0	407736.5	478014.5	551479.5	626182.5	698565.0	769195.5	834415.0	895232.5	952564.5	1001356.5	1038891.5	1063776.0	1074838.0	1073734.5	1065096.5	1053327.5	1037696.0	1017638.5	996393.5	976579.5	958869.0	944522.5	933666.5	924172.5	918029.5	917135.0	918569.5	921284.5	923062.5	920261.0	913510.5	904432.5	887577.0	858011.0	819363.0	773648.5	719420.0	658912.5	598783.0	536182.0	471139.5	408913.5	348992.0	295587.5	251724.0	215106.5	184644.5	159575.5	136977.0	117943.0	101646.5	85886.0	71872.5	59127.0	47066.5	36471.5	28475.0	23014.0	17562.0	13006.5	10603.0	7988.0	5421.0	3490.0	1996.5	1058.0	515.5	269.5	146.5	88.0	44.5	16.0
