task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
109	ab/62462e	1984547	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (28RT_T1_T1)	COMPLETED	0	2023-06-21 14:32:49.242	19m 10s	19m 5s	216.8%	241.8 MB	5.5 GB	20.3 GB	6.8 GB
110	b0/b5789c	1991591	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (128RT_T1_T1)	COMPLETED	0	2023-06-21 14:35:26.547	21m 38s	21m 29s	202.8%	240.1 MB	5.5 GB	22.2 GB	7.4 GB
111	71/5790f6	1996030	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (81B_CM-_T1)	COMPLETED	0	2023-06-21 14:36:48.097	20m 17s	20m 13s	202.0%	242.2 MB	5.4 GB	21 GB	7 GB
112	fd/9ea78b	2006128	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (28RT_PBMC_T1)	COMPLETED	0	2023-06-21 14:40:15.260	20m 35s	20m 28s	208.6%	242.3 MB	5.5 GB	21.3 GB	7.1 GB
113	ef/d474c1	2021773	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (81B_CM+_T1)	COMPLETED	0	2023-06-21 14:45:57.880	18m 14s	18m 1s	199.8%	242.1 MB	5.4 GB	18.3 GB	6.1 GB
114	81/0ecd66	2022497	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (67_RT_T2_T1)	COMPLETED	0	2023-06-21 14:46:00.608	19m 38s	19m 24s	201.5%	242.1 MB	5.4 GB	19.8 GB	6.6 GB
115	15/07cf55	2037478	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (67B_T2_T1)	COMPLETED	0	2023-06-21 14:51:58.927	21m 40s	21m 33s	191.4%	240.8 MB	5.6 GB	20.7 GB	6.9 GB
116	5a/dc6b15	2049855	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (81B_T1_T1)	COMPLETED	0	2023-06-21 14:57:04.311	21m 23s	21m 13s	183.1%	241.5 MB	5.5 GB	19.6 GB	6.5 GB
122	ef/dc967b	2105528	NFCORE_HLATYPING:HLATYPING:OPTITYPE (128RT_TISSUE_T1)	COMPLETED	0	2023-06-21 15:18:27.472	2m 13s	2m	93.6%	2.9 GB	11.4 GB	42.7 MB	1.2 MB
117	22/07cb55	2050136	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (28RT_CM-_T1)	COMPLETED	0	2023-06-21 14:57:05.576	23m 57s	23m 49s	189.0%	240.4 MB	5.5 GB	21.9 GB	7.3 GB
123	73/f8f53a	2111273	NFCORE_HLATYPING:HLATYPING:OPTITYPE (81B_T2_T1)	COMPLETED	0	2023-06-21 15:20:40.684	1m 32s	1m 22s	104.9%	2.3 GB	10.9 GB	38.4 MB	588.7 KB
120	4b/58b756	2070721	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (28RT_CM+_T1)	COMPLETED	0	2023-06-21 15:04:11.862	19m 20s	19m 12s	174.8%	242.2 MB	5.5 GB	17.6 GB	5.9 GB
124	a0/82c68d	2112962	NFCORE_HLATYPING:HLATYPING:OPTITYPE (128RT_CM-_T1)	COMPLETED	0	2023-06-21 15:21:02.691	2m 29s	2m 19s	101.6%	4.2 GB	12.4 GB	45.9 MB	627.7 KB
118	2c/f1da53	2061045	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (128RT_CM+_T1)	COMPLETED	0	2023-06-21 15:00:49.982	24m 21s	24m 17s	177.0%	242.3 MB	5.5 GB	21.4 GB	7.1 GB
125	6f/ed9456	2116829	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67RT_CM-_T1)	COMPLETED	0	2023-06-21 15:22:12.472	3m 30s	3m 26s	99.3%	6.3 GB	14.8 GB	46.3 MB	1 MB
127	9a/b5cda0	2121129	NFCORE_HLATYPING:HLATYPING:OPTITYPE (96RT_TISSUE_T1)	COMPLETED	0	2023-06-21 15:23:31.580	2m 11s	2m 6s	99.7%	4 GB	12.5 GB	43.6 MB	1 MB
119	60/fb1392	2076032	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (117B_CM+_T1)	COMPLETED	0	2023-06-21 15:05:38.360	20m 27s	20m 22s	178.2%	242.2 MB	5.4 GB	18.3 GB	6.1 GB
126	2b/415162	2121076	NFCORE_HLATYPING:HLATYPING:OPTITYPE (113B_T1_T1)	COMPLETED	0	2023-06-21 15:23:31.498	4m 38s	4m 33s	101.0%	8 GB	16 GB	51.5 MB	1.1 MB
128	28/6330a7	2127279	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67_PBMC_T1)	COMPLETED	0	2023-06-21 15:25:11.148	3m 9s	3m 4s	97.3%	5.6 GB	13.9 GB	45.4 MB	1 MB
131	03/ead431	2132979	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67RT_TISSUE_T1)	COMPLETED	0	2023-06-21 15:26:05.267	3m 1s	2m 56s	101.0%	6 GB	14.5 GB	46.2 MB	1 MB
130	e8/aed96e	2130199	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67B_CM-_T1)	COMPLETED	0	2023-06-21 15:25:42.589	3m 26s	3m 23s	102.0%	6.7 GB	14.9 GB	46.6 MB	1.1 MB
129	af/0ab3a1	2130179	NFCORE_HLATYPING:HLATYPING:OPTITYPE (113B_CM-_T1)	COMPLETED	0	2023-06-21 15:25:42.560	3m 30s	3m 26s	102.0%	7 GB	15 GB	48.9 MB	1.1 MB
